TIME,30.0463,30.3998,30.7617,31.1323,31.512,31.901,32.2998,32.7087,33.128,33.5582,33.9998,34.4531,34.9187,35.397,35.8887,36.3941,36.9141,37.449,37.9998,38.5669,39.1513,39.7536,40.3748,41.0156,41.6772,42.3604,43.0664,43.7963,44.5515,45.3331,46.1426,46.9815,47.8516,48.7544,49.692,50.6664,51.6797,52.7344,53.833,54.9784,56.1736,57.4219,58.7269,60.0927,61.5234,63.024,64.5996,66.256,67.9996,69.8374,71.7773,73.8281,75.9995,78.3026,80.7495,83.3543,86.1328,89.1029,92.2852,95.7031,99.384,103.359,107.666,112.347,117.454,123.047,129.199,135.999,143.555,151.999,161.499,172.266,184.57,198.768,215.332,234.908,258.398,287.109,322.998,369.141,430.664
0.000000000,0.00242433,0.02653,0.042202,0.00719679,0.00229605,0.00328362,0.0141218,0.0199114,0.00722484,0.000455884,0.00545252,0.00615815,0.00353397,0.000903186,0.0157331,0.130947,0.341906,0.213211,0.00361114,0.00720893,0.00464213,0.00223555,0.00164765,0.0266387,0.112029,0.144413,0.000848066,0.00104529,0.013928,0.0119862,0.0025539,0.0079656,0.012903,0.269119,0.366717,0.120121,0.021957,0.100184,0.164139,0.00508168,0.00686296,0.0688071,0.18548,0.0812391,0.000879347,0.00588016,0.010446,0.00538608,0.00108761,0.00511784,0.0906835,0.482542,0.261,0.00374057,0.0374142,0.186278,0.0888913,0.000613831,0.00893159,0.0920737,0.169869,0.00110973,0.000461661,0.000697743,0.263264,0.276445,0.0423041,0.0293104,0.309457,0.259837,0.00873072,0.00373598,0.113188,0.340764,0.0282453,0.000987807,0.00154684,0.230506,0.293234,0.0820155,0.000658684
1.486077098,0.0024894,0.0265781,0.0422583,0.0073032,0.00236644,0.003286,0.0141533,0.0199573,0.00726466,0.000487106,0.00551329,0.00623056,0.00354954,0.000923391,0.0157706,0.13102,0.341964,0.213225,0.00363187,0.00726874,0.00468637,0.00228116,0.00168642,0.0266593,0.112062,0.144442,0.000860052,0.00107413,0.0139735,0.0120209,0.00261287,0.00799369,0.0129156,0.269158,0.366778,0.120163,0.0219978,0.10023,0.164182,0.00512969,0.00688875,0.0688253,0.185521,0.0812889,0.000920147,0.00592511,0.0104903,0.00541635,0.00110745,0.00514008,0.0907333,0.482596,0.261035,0.00375853,0.0374252,0.186289,0.088912,0.000644683,0.00895788,0.0920927,0.169882,0.00111258,0.000463598,0.000720642,0.263313,0.276492,0.0423479,0.0293513,0.309499,0.259854,0.00874517,0.00376076,0.113208,0.340805,0.0282989,0.00102341,0.00157505,0.230543,0.293264,0.0820442,0.000699909
2.972154195,0.0025066,0.0265796,0.0422606,0.00731501,0.00237201,0.00329719,0.0141593,0.0199618,0.00727473,0.000504121,0.00552479,0.00624816,0.00358656,0.000942258,0.0157929,0.131086,0.342075,0.213273,0.00364098,0.00729679,0.00470121,0.00231332,0.00176079,0.0266945,0.112082,0.144461,0.000876275,0.00107773,0.013976,0.0120411,0.00268267,0.00807262,0.0129201,0.269171,0.366798,0.120169,0.0220025,0.100234,0.164191,0.00516497,0.00693445,0.0688392,0.185542,0.0813093,0.00092397,0.00595822,0.0106031,0.00552852,0.00118531,0.00521784,0.0907804,0.482627,0.261084,0.00383045,0.0374508,0.18634,0.0889729,0.000666864,0.00896267,0.0921153,0.169929,0.00115061,0.000496983,0.000746772,0.263336,0.2765,0.0423524,0.0293641,0.309526,0.259887,0.00878083,0.00380765,0.113241,0.340829,0.0283097,0.00103001,0.00158758,0.230578,0.293294,0.0820871,0.000750499
4.458231293,0.00256857,0.0266535,0.0423004,0.00734289,0.00241987,0.00334359,0.0141869,0.0199867,0.00729109,0.000522182,0.00553461,0.00625184,0.0035952,0.000945639,0.0158072,0.131125,0.342127,0.213294,0.00370824,0.00745955,0.0047749,0.00234576,0.00178313,0.0267319,0.112095,0.144497,0.000918557,0.00108661,0.0139849,0.0120594,0.00269525,0.00808325,0.0129607,0.269213,0.36682,0.120189,0.0220645,0.100276,0.164213,0.00518914,0.00693733,0.0688493,0.185554,0.0813231,0.000929015,0.00595947,0.0106078,0.00554842,0.00121534,0.00523543,0.0908139,0.482672,0.261139,0.0038724,0.0374862,0.18637,0.0889832,0.000669305,0.00896745,0.0921304,0.169937,0.00115719,0.000501231,0.000763189,0.263344,0.276502,0.0423587,0.0293728,0.309555,0.259933,0.00879652,0.00381476,0.113244,0.340829,0.0283136,0.00103909,0.00160213,0.230585,0.293299,0.0821295,0.00076872
5.944308390,0.0027015,0.0266882,0.0423114,0.00739629,0.00246497,0.00341118,0.0142425,0.0199932,0.00730179,0.000550011,0.00556169,0.00629851,0.00366178,0.000995704,0.015909,0.131298,0.342276,0.213469,0.00380495,0.00747496,0.00478166,0.00240506,0.00184542,0.0267523,0.112169,0.144545,0.00102147,0.00109525,0.0140208,0.0120978,0.00279974,0.00813261,0.0130395,0.269242,0.366846,0.120233,0.0221207,0.100293,0.164238,0.00523507,0.00702471,0.0689247,0.185655,0.0814031,0.00100374,0.00598596,0.0106365,0.00556491,0.00123679,0.00525211,0.0908928,0.482722,0.261176,0.00388438,0.0374962,0.186385,0.0890669,0.000728609,0.00901672,0.0921839,0.170001,0.00123163,0.000543037,0.000775909,0.263374,0.276585,0.0424038,0.029419,0.309648,0.260006,0.0088535,0.00388022,0.11328,0.34086,0.028364,0.0010929,0.00163818,0.230655,0.293334,0.0821557,0.000830125
7.430385488,0.0027294,0.0269287,0.0425772,0.0075721,0.00248118,0.00344456,0.0143227,0.0200418,0.00733773,0.000649521,0.00560761,0.00632133,0.00372461,0.00115396,0.0161792,0.131441,0.342396,0.213541,0.00382916,0.00750848,0.00490197,0.0025476,0.00196793,0.0268102,0.112169,0.144546,0.00102147,0.00111838,0.0142308,0.012127,0.00281057,0.00820615,0.013539,0.269488,0.367186,0.120316,0.0221483,0.100315,0.164352,0.00530104,0.0071338,0.0689928,0.185718,0.0814049,0.00100535,0.0060123,0.0108216,0.00562727,0.00124727,0.00528154,0.0908949,0.482733,0.261231,0.00400575,0.03752,0.186424,0.0891093,0.000730232,0.00904796,0.092307,0.170185,0.00134436,0.000599981,0.000775909,0.263387,0.276646,0.0424688,0.0295009,0.309726,0.260015,0.00886097,0.00391222,0.113362,0.340918,0.0284384,0.00110492,0.00164368,0.230663,0.293351,0.0821835,0.000889376
8.916462585,0.00274049,0.0270192,0.042616,0.00761478,0.00251465,0.00345433,0.0143234,0.0200453,0.00736074,0.000784567,0.00571098,0.00633622,0.00373795,0.00124667,0.0165279,0.13171,0.342524,0.213545,0.00383682,0.00753559,0.00493769,0.00258417,0.00199421,0.0268648,0.112195,0.144595,0.0010586,0.00126682,0.0143515,0.0123622,0.00284435,0.008245,0.0135569,0.269488,0.367196,0.120379,0.0224737,0.100392,0.16436,0.00532222,0.00729622,0.0694001,0.187014,0.0816817,0.00102851,0.00601941,0.0108958,0.00581823,0.00142891,0.00541405,0.0909189,0.482741,0.261303,0.00451335,0.0377692,0.186895,0.0891777,0.000803729,0.00944814,0.0927431,0.170559,0.0013791,0.000678677,0.000825394,0.263507,0.276738,0.0426215,0.0296017,0.310072,0.260249,0.00891102,0.00397814,0.113507,0.341416,0.028725,0.00159136,0.00169738,0.230663,0.293351,0.082325,0.00126056
10.402539683,0.00626552,0.0272808,0.0426279,0.00780852,0.0037246,0.00422656,0.0143234,0.0202542,0.00758387,0.00103376,0.00571098,0.00784843,0.00557541,0.00202929,0.0167025,0.133765,0.344137,0.213901,0.00457022,0.0080423,0.00530218,0.00363118,0.00277476,0.0270114,0.112195,0.14467,0.00171213,0.0021044,0.0143563,0.0157759,0.00762353,0.00912494,0.0138906,0.269488,0.367798,0.122234,0.0241212,0.100864,0.164904,0.00604231,0.0077965,0.0694334,0.191137,0.0847861,0.0013029,0.00611653,0.0109077,0.00650527,0.00303082,0.00657364,0.0911887,0.482745,0.261306,0.00454521,0.0377978,0.186926,0.0891843,0.000808671,0.00945297,0.0927467,0.170562,0.00137965,0.000680416,0.000838258,0.26351,0.276742,0.0426278,0.0296133,0.310076,0.260253,0.00891467,0.0039952,0.113544,0.341528,0.0287597,0.00159892,0.00170011,0.230669,0.29336,0.0823759,0.00141987
11.888616780,0.00630253,0.0289992,0.0451889,0.00872165,0.00402473,0.00460343,0.0145531,0.0202793,0.00758387,0.00136357,0.00980604,0.0145049,0.00841867,0.00226157,0.016708,0.134837,0.345609,0.214432,0.00470075,0.00820994,0.00530791,0.00363118,0.00277476,0.0334002,0.12404,0.150866,0.00217763,0.00401929,0.0184204,0.0173754,0.007642,0.00912494,0.014262,0.269635,0.367802,0.122234,0.0280443,0.108778,0.170279,0.00828126,0.0133655,0.0799435,0.200004,0.0852252,0.00153917,0.00638476,0.0119797,0.00650527,0.00303082,0.00657364,0.0925575,0.485873,0.264538,0.00752472,0.0486448,0.195663,0.0899783,0.000862314,0.0945418,0.273925,0.258043,0.00137965,0.000680416,0.0170653,0.275546,0.276742,0.0431737,0.0309596,0.316942,0.268516,0.00891467,0.134258,0.452594,0.790651,0.276037,0.00159892,0.00394739,0.259074,0.327382,0.0823759,0.00141987
