TIME,27.7576,30.2811,32.8045,35.3279,37.8513,40.3748,42.8982,45.4216,47.945,50.4684,52.9919,55.5153,58.0387,60.5621,63.0856,65.609,68.1324,70.6558,73.1792,75.7027,78.2261,80.7495,83.2729,85.7964,88.3198,90.8432,93.3666,95.89,98.4135,100.937,103.46,105.984,108.507,111.031,113.554,116.077,118.601,121.124,123.648,126.171,128.695,131.218,133.741,136.265,138.788,141.312,143.835,146.358,148.882,151.405,153.929,156.452,158.976,161.499,164.022,166.546,169.069,171.593,174.116,176.64,179.163,181.686,184.21,186.733,189.257,191.78,194.304,196.827,199.35,201.874,204.397,206.921,209.444,211.967,214.491,217.014,219.538,222.061,224.585,227.108,229.631,232.155,234.678,237.202,239.725,242.249,244.772,247.295,249.819,252.342,254.866,257.389,259.912,262.436,264.959,267.483,270.006,272.53,275.053,277.576,280.1,282.623,285.147,287.67,290.194,292.717,295.24,297.764,300.287,302.811,305.334,307.858,310.381,312.904,315.428,317.951,320.475,322.998,325.521,328.045,330.568,333.092,335.615,338.139,340.662,343.185,345.709,348.232,350.756,353.279,355.803,358.326,360.849,363.373,365.896,368.42,370.943,373.466,375.99,378.513,381.037,383.56,386.084,388.607,391.13,393.654,396.177,398.701,401.224,403.748,406.271,408.794,411.318,413.841,416.365,418.888,421.411,423.935,426.458,428.982,431.505,434.029,436.552,439.075,441.599,444.122,446.646,449.169,451.693,454.216,456.739,459.263,461.786,464.31,466.833,469.357,471.88,474.403,476.927,479.45,481.974
0.000000000,1275.64,1710.8,2557.1,3142.63,3521.29,4158.06,4436.51,4168.79,3746.39,3178.46,2563.16,2066.6,1745.14,1615.26,1692.85,1945.25,2200.96,2379.99,2627.79,2781.4,2648.87,2482.1,2363.45,2153.38,1951.12,1951.43,2164.34,2494.32,3010.34,3810.01,4596.73,4963.64,5070.61,5124.26,4443.88,2967.85,1717.96,901.257,285.546,1.98303,215.296,873.597,1995.14,3526.05,5191.96,7001.77,9278.81,11585.5,12107.5,11216.7,10350.2,8874.31,7081.17,5685.19,4555.71,3508.74,2488.3,1682,1097.51,791.875,1094.31,1872.21,2064.36,1699.37,1671.45,1714.8,1571.26,1488.8,1533.84,1719.23,2092.17,2732.97,3697.57,4841.47,6032.52,6880.99,6922.26,6596.38,6326.45,5953.93,5521.67,5141.35,4896.64,4977.77,5405.28,5892.48,6254.33,6760.9,7381.33,7615,7632.85,7466.56,6459.97,4803.71,3127.43,1644.82,589.106,94.7551,197.17,960.346,2349.05,4389.57,6700.47,8914.37,11607.5,14037.5,14192.4,12776.5,11626.9,10267.1,8219.81,6103.15,4091.87,2284.85,946.174,252.922,236.183,846.893,1995.07,3276.05,4298.47,5154.25,5926.49,6295.23,6315.33,6195.95,5756.44,5192.47,4864.24,4824.56,5161.63,5851.42,6679.76,7581.75,8493.91,9155.39,9126.72,8353.02,7437.62,6621.33,5849.25,5218.73,4703.05,4313.23,4073.74,4037.81,4249.65,4495.32,4913.58,5520.02,5201.44,4075.08,3474.44,3239.17,2793.43,2215.72,1760.39,1501.63,1509.68,2044.15,3089.84,4199.46,5321.7,6630.3,6987.8,6412.13,6242.81,5932.18,5011.66,4061.6,3117.21,2010.16,1012.5,370.181,45.7361,59.5566,485.319,1144.54,1543.89,1812.25,2216.28
1.486077098,1565.21,1996.25,2998.98,3427.4,3558.98,4472.91,4718.63,4365.58,4008.36,3408.52,2816.85,2319.56,2041.86,1916.32,1943.35,2210.56,2435.35,2514.52,2800.45,3028.11,2811.88,2656.45,2647.48,2451.38,2230.49,2222.34,2457.37,2721.09,3167.07,4060.17,4880.68,5206.04,5180.93,5408.73,4802.54,3010.42,1705.14,921.304,301.191,10.951,233.382,871.938,2009.07,3606.72,5196.48,7038.24,9315.84,12149,12536.4,11102.7,10567.7,8858.61,6941.02,5557.84,4436.09,3450.53,2369.29,1586.45,985.176,652.354,965.96,2001.75,2231.37,1604.49,1740.28,1874.22,1687.12,1672.11,1712.45,1909.01,2274.23,2897.87,3976.55,5156.19,6464.78,7487.96,7360.53,6914.51,6750.98,6367.56,5960.61,5621.34,5330.25,5456.3,5959.71,6483.52,6684.42,7099.67,7865.56,7943.11,7905.52,7924.4,6848.73,5006.56,3296.01,1750.48,648.494,160.97,273.901,1055.73,2437.95,4566.74,6982.24,9006.79,11930.8,14883.5,14797.6,12848.1,11838.3,10626.3,8396.68,6319.37,4298.45,2453.02,1093.03,363.167,337.159,974.898,2204.27,3527.46,4502.07,5341.61,6249.53,6666.18,6645.98,6708.08,6263.98,5597.14,5331.77,5242.7,5616.97,6413.59,7220.69,8166.65,9120.28,9870.3,9853.44,8829.78,7818.6,7039.04,6202.3,5650.53,5159.19,4757.29,4539.95,4376.67,4632.6,4806.17,5062.83,6005.13,5553.1,3955.43,3389.41,3204.13,2732.17,2099.42,1609.91,1351.85,1303.68,1872.51,2978.36,4158.23,5169.54,6809.15,7181.5,6191.17,6264.79,6027.54,5008.63,4073.65,3204.8,2077.83,1022.07,388.615,66.5941,81.5268,535.54,1284.86,1591.16,1777.91,2343.4
2.972154195,1629.37,1968.98,3050.07,3229.1,3014.37,4190.39,4289.19,3910.04,3691.56,3118.54,2664.4,2216.26,2042.09,1947.99,1890.93,2161.02,2310.74,2267.73,2551.75,2846.08,2548.25,2425.98,2553.48,2381.55,2183.69,2153.47,2392.39,2546.41,2829.52,3733.38,4430.22,4703.14,4502.19,4901.81,4515.35,2604.06,1457.97,815.46,289.552,38.6755,235.604,757.192,1739.33,3201.94,4421.93,6101.01,7946.6,11006.7,11192.3,9287.88,9335.92,7537.84,5822.99,4642.39,3685.68,2920.1,1919.94,1283.13,751.602,444.968,714.585,1869.09,2117.52,1245.96,1575.53,1764.87,1532.86,1622.21,1622.42,1817.91,2117.78,2617.31,3685.07,4698.4,5936.95,7021.81,6701.81,6186.76,6186.68,5827.66,5502.28,5277.11,4944.97,5123.07,5619.76,6121.44,6122.21,6345.39,7232.01,7071.01,7006.7,7224.46,6255.22,4465.55,3000.47,1619.24,622.369,220.671,330.297,1016.6,2181.61,4089.83,6282.87,7751.94,10515.9,13599.1,13261.3,11003.2,10320.6,9466.57,7325.96,5628.04,3887.26,2271.53,1103.68,433.307,399.327,975.765,2111.37,3271.48,4042.82,4734.76,5654.74,6067.07,5960.48,6244.91,5850.54,5138.12,5021.16,4859.31,5222.03,6040.36,6662.76,7552.64,8376.52,9131.11,9138.78,7991.71,7020.61,6432.07,5609.57,5245.23,4854.14,4467.77,4360.08,4028.24,4334.11,4423.72,4404.54,5663.06,5126.6,3240.59,2829.27,2713.93,2287,1701.45,1243.08,1038.79,934.365,1467.75,2449,3554.89,4248.57,6033.09,6386.53,5026.35,5421.98,5241.29,4291.37,3485.23,2841.81,1854.08,892.617,357.083,91.0988,104.586,518.708,1267.45,1407.42,1469.81,2155.06
4.458231293,1444.35,1639.66,2693.49,2623.12,2098.74,3408.54,3308.53,2965.29,2912.96,2411.86,2162.77,1793.55,1746.48,1698.62,1555.05,1816.22,1869.83,1734.5,1966.93,2306.97,1949.32,1881.53,2110.56,1972.98,1825.68,1771.66,1992.94,2033.37,2124.85,2945.21,3409.35,3634.37,3283.36,3788.67,3683.32,1899.87,1062.86,617.915,252.807,71.3326,218.47,564.552,1287.38,2443,3157.52,4511.05,5675.59,8568.51,8553.32,6452.55,7072.41,5400.99,4116.42,3268.26,2569.21,2103.38,1299.35,876.047,477.84,238.658,433.137,1524.19,1765.78,766.971,1235.22,1430.1,1163.79,1360.49,1294.24,1482.91,1676.34,1997.61,2926.9,3632.89,4645.5,5644.65,5190.59,4676.8,4838.5,4531,4313.84,4234.39,3882.69,4100.93,4509.76,4937.11,4773.68,4776.46,5707.16,5317.06,5262.69,5619.03,4888.91,3380.39,2340.14,1299.29,515.478,250.143,340.338,856.259,1664.59,3133.61,4844.22,5604.91,7879.92,10635.1,10139,7911.21,7622.09,7196.66,5399.52,4269.21,3009.2,1797.85,974.849,432.369,399.705,843.281,1753.5,2591.06,3093.7,3546.55,4363.14,4708.69,4513.2,4973.76,4665.66,3987.99,4042.1,3818.51,4121.02,4868.03,5209.28,5964.69,6530.15,7211.32,7234.2,6150.74,5329.02,5023.3,4286.41,4151.38,3899.73,3550.61,3601.88,3119.61,3468.38,3480.9,3191.87,4614.51,4079.19,2197.98,1987.35,1947.25,1611,1163.58,788.503,667.51,533.84,965.607,1693.61,2593.1,2899.35,4577.4,4887.35,3351.2,4005.81,3860.06,3110.56,2512,2152.98,1418.2,669.693,283.39,109.285,117.09,441.118,1097.68,1060.81,1003.38,1718.82
5.944308390,1078.58,1132.26,2049.37,1821.97,1139.82,2384.65,2116.44,1854.18,1938.1,1533.26,1487.17,1200.53,1264.01,1254.49,1061.01,1295.73,1267.26,1100.28,1246.38,1596.69,1221.44,1214.73,1472.06,1370.17,1286.45,1211.5,1403.76,1356.86,1303.63,1958.05,2171.09,2357.01,1940.09,2453.03,2574.96,1141.35,644.115,391.229,198.706,91.0015,183.3,351.466,802.191,1569.63,1829.93,2775.72,3273.83,5647.19,5490.87,3570.3,4498.44,3161.31,2375.86,1874.05,1450.55,1258.22,704.123,490.17,243.13,89.6857,207.449,1081.53,1292.09,339.361,831.131,985.491,712.873,977.826,846.102,1022.53,1102.23,1255.75,1959.78,2324.87,3039.81,3820.65,3350.89,2902.91,3166.27,2927.83,2805.46,2858.18,2515.87,2748.94,3019.71,3340.68,3104.9,2939.03,3803.48,3282.41,3266.59,3651.47,3207.87,2123.36,1528.37,898.397,359.162,236.916,295.7,623.538,1057.52,2015.34,3138.39,3289.69,4910.23,6979.21,6482.82,4611.62,4638.36,4576.65,3258.87,2699.01,1955.64,1189.18,748.301,357.515,338.694,618.317,1251.66,1714.92,1976.23,2180.99,2812.5,3051.94,2804.29,3334.36,3115.24,2555.94,2731.51,2486.32,2704.18,3296.97,3373.72,3944.49,4224.79,4768.78,4794.74,3937.6,3324.61,3293.56,2690.87,2748.48,2628.61,2331.38,2529.13,1974.33,2337.44,2296.6,1854.97,3210.65,2766.1,1178.02,1132.89,1153.22,921.771,650.925,389.148,343.869,220.318,516.795,951.887,1575.83,1571.16,2921.94,3173.42,1733.18,2470.14,2343.6,1851.11,1480.13,1360.2,915.069,423.437,189.059,112.665,109.918,329.447,826.98,670.63,539.308,1175.69
7.430385488,659.533,621.988,1318.84,1068.78,429.112,1406.78,1073.06,906.814,1050.24,755.88,841.915,631.355,752.16,764.184,572.791,764.848,693.389,550.597,613.623,922.096,589.554,625.891,838.711,767.844,740.926,657.074,812.025,727.638,611.131,1062.49,1087.8,1232.41,864.629,1286.22,1507.64,543.642,309.588,197.434,137.826,86.4669,136.235,172.528,411.047,820.907,798.735,1359.92,1412.06,3069.73,2872.76,1432.83,2312.49,1424.72,1053.07,819.237,613.844,600.969,280.586,210.979,93.9585,17.3527,78.9615,665.541,830.534,81.7537,474.564,563.937,326.82,588.882,426.767,579.554,573.401,614.308,1072.44,1168.68,1597.97,2106.31,1726.58,1392.4,1668.07,1500.23,1440.11,1568.93,1274.48,1483.32,1618.6,1824.94,1616.31,1388.02,2070.48,1571.12,1591.36,1898.43,1706.99,1055.13,799.178,530.073,199.052,185.69,211.764,380.597,536.778,1048.38,1642.52,1462.21,2439.8,3694.48,3339.87,2024.79,2197.5,2343.09,1514.39,1358.65,1027.47,629.539,489.178,237.751,239.077,371.13,752.653,910.116,1007.65,1039.04,1454.54,1581.33,1348.16,1819.71,1673.93,1284.84,1492.76,1275.32,1413.33,1807.92,1720.21,2104.62,2158.62,2538.14,2563.23,1999.92,1607.55,1749.84,1306.87,1462.28,1433.94,1199.06,1471.33,958.321,1281.53,1227.14,791.855,1865.74,1572.48,449.124,487.502,535.367,399.247,283.975,131.163,131.393,49.9944,214.462,408.317,762.214,612.653,1529.41,1707.47,606.781,1222.21,1107.87,854.945,670.029,683.527,484.22,217.496,101.136,97.6772,83.3352,215.482,533.867,347.095,208.116,674.873
8.916462585,312.624,247.755,695.86,531.697,84.9248,680.125,396.035,312.557,436.463,250.78,373.097,232.972,347.536,363.267,220.372,357.157,286.03,196.73,206.242,427.994,192.461,238.48,366.281,319.704,329.282,256.728,362.888,289.456,189.985,447.225,381.394,481.789,248.822,522.325,711.115,201.621,108.938,72.657,80.1322,61.0084,85.044,58.3308,173.063,328.146,218.872,491.909,377.608,1338.38,1185.31,325.452,904.775,446.652,313.787,240.294,163.825,214.841,67.3609,62.6467,28.5866,0.95691,35.6725,357.553,478.679,7.21678,233.549,256.772,92.4074,289.58,142.864,254.634,213.272,208.047,454.358,409.87,626.866,891.229,652.039,448.759,658.517,554.075,522.934,656.753,448.869,595.375,634.37,748.125,624.113,434.956,868.169,515.959,548.864,726.121,691.756,377.507,305.666,264.046,77.1521,115.556,117.8,185.257,199.353,412.3,647.881,419.915,906.486,1460.02,1301.77,566.53,720.698,900.147,474.38,498.984,406.161,243.608,262.133,117.711,134.53,169.795,368.317,355.018,376.687,338.372,559.608,600.606,438.314,764.077,672.674,450.754,613.143,463.564,538.513,746.64,618.819,842.982,784.083,1009.9,1028.57,730.438,527.693,709.877,428.767,573.514,590.627,432.795,676.706,302.899,538.804,504.023,196.317,874.252,746.299,93.3142,134.193,176.159,112.674,92.3426,19.9463,32.772,1.64748,65.9724,122.376,270.79,129.757,643.844,751.387,90.607,454.664,361.323,274.114,204.763,249.732,201.306,84.1928,39.3277,69.2668,47.1294,122.427,290.261,145.916,52.878,314.628
10.402539683,102.454,57.3042,288.716,245.852,28.5019,263.045,97.004,62.0532,125.237,34.0061,118.87,44.618,113.524,117.895,44.3064,124.706,82.3766,39.7849,31.1331,152.854,34.0954,60.1762,107.628,81.7142,101.96,55.7163,110.759,75.5792,27.0592,137.002,66.6595,121.18,33.949,170.178,256.422,73.9247,24.1724,17.0328,36.0119,27.3359,40.1632,8.91056,65.7323,89.5427,19.8836,117.494,30.5704,484.479,411.358,16.0892,253.034,96.3498,45.9316,37.9637,14.9834,55.1995,7.69068,11.2859,9.41301,3.44116,33.1108,172.866,268.639,33.3987,114.212,88.7017,7.27334,114.333,19.0639,78.0197,44.0395,36.4908,138.563,70.6575,159.465,263.023,154.4,63.1313,166.996,116.385,102.134,189.496,77.6883,147.023,144.523,199.946,159.282,61.6141,251.338,86.9888,109.016,173.831,191.083,78.5233,69.1448,112.184,12.6527,50.3459,44.5535,64.7543,43.5561,108.729,171.333,48.1437,250.326,364.424,352.983,61.9278,128.85,231.993,67.9266,109.605,106.577,55.5959,105.59,35.1612,54.5249,50.1954,138.275,82.3656,87.3973,54.5863,139.093,137.231,65.0763,231.492,177.308,78.498,160.391,92.6657,126.584,200.426,114.42,219.017,156.266,262.844,268.87,151.816,79.9378,200.244,61.8178,137.567,163.865,81.8755,225.08,35.329,158.466,155.027,13.4861,318.361,316.121,8.09212,16.571,35.662,12.7697,24.0325,0.249138,7.04362,7.73753,16.5754,29.5941,61.7908,2.11989,234.423,294.806,2.68893,118.005,58.9503,50.5172,31.7892,55.8415,60.8804,19.8231,9.78848,40.0805,14.6586,57.1766,134.331,56.0946,30.0803,112.971
11.888616780,25.0418,11.1475,95.0468,128.43,82.1518,81.2553,29.1948,7.2128,22.1331,0.994836,29.9543,1.26426,27.1255,16.7924,2.71409,28.581,22.0477,2.8269,1.07341,46.1766,12.2567,13.8748,20.3721,7.42291,16.6612,1.32128,17.4765,20.5063,2.73615,33.5022,0.577168,16.8179,13.8483,75.0592,64.3526,48.9247,4.69521,3.70764,11.9299,4.84444,11.021,2.25842,26.0354,14.0592,5.21354,15.7944,5.92144,191.87,201.938,24.9006,67.5969,33.0411,9.71441,6.98091,1.45542,11.6253,3.27986,0.644713,1.64976,3.62215,34.9848,80.4365,164.05,61.4038,65.5185,29.4128,5.62077,42.6854,1.27837,18.6056,2.71511,3.71776,30.1493,0.565113,18.9592,47.6964,21.4813,1.42064,23.1635,8.07523,4.5687,37.1671,0.539676,12.9704,5.31868,22.6305,29.8262,13.6602,46.0507,14.9326,11.5073,23.1073,33.3673,5.36234,3.86313,36.3877,1.71762,10.4831,7.04892,13.3229,3.77049,18.5158,28.8175,2.08075,86.2887,36.4759,78.7433,8.81916,14.994,40.6155,2.46202,9.36309,14.1081,2.40828,24.8161,5.8542,10.6088,5.0062,38.9076,6.29213,10.1654,2.73576,18.7295,9.61511,2.64496,54.7224,29.864,1.14946,19.6201,8.93812,19.4389,27.5142,0.906056,26.2201,5.01716,34.8236,36.3093,9.22172,2.01488,42.3631,1.12112,17.293,28.3438,5.52458,44.3349,16.6883,26.5521,45.1183,26.437,95.7495,166.903,12.3482,2.56054,7.29523,0.626021,6.065,6.34554,3.62739,9.04034,5.94839,15.0621,9.81996,15.0773,103.697,136.204,47.8333,24.5897,2.7306,9.27441,1.5668,8.73905,13.6197,1.58125,1.91021,20.4453,0.516195,16.159,58.69,30.1458,50.5655,34.2351
