TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.136235828,0.198661,0.350348,0.956203,1.64374,0.371529,0.97632,0.48915,0.67243,0.0430497,0.656124,0.940651,1.0344
2.182675737,0.0213135,0.339663,0.840296,1.69133,0.398631,0.888572,0.44084,0.825456,0.0420997,0.60423,1.0016,1.06249
2.229115646,0.00396261,0.235058,0.417229,2.1271,0.39693,0.779232,0.411884,0.927215,0.0623142,0.391785,1.06819,1.0954
2.275555556,0.119916,0.525149,0.653557,1.8188,1.08209,0.905828,0.264418,0.602337,0.151943,0.291996,0.53359,0.238499
2.321995465,0.148343,0.750572,0.389652,1.66158,1.16079,0.826099,0.128461,0.446517,0.538664,0.227756,0.628233,0.286734
2.368435374,0.204876,0.771719,0.365496,1.76599,0.908402,0.791769,0.142009,0.274682,0.896855,0.397237,0.748353,0.223842
2.414875283,0.134372,0.8298,0.462645,1.74748,0.728178,0.501711,0.250764,0.238222,1.34479,0.318202,0.840113,0.229024
2.461315193,0.108227,0.779166,0.712789,1.45283,1.29588,0.0453925,0.158526,0.21179,1.61915,0.222535,0.46032,0.331365
2.507755102,1.38751,0,0.333698,1.36135,0.525235,0.555625,1.26592,0.520997,0.999487,0.357652,0.138229,0.0357638
2.554195011,1.52898,0,0.127742,0.844386,0.338643,0.709664,1.44674,0.979056,0.648038,0.399366,0.486147,0.0146021
2.600634921,1.60835,0,0.0919172,0.754114,0.311839,0.773056,1.44251,1.00636,0.675501,0.369089,0.656276,0.0130721
2.647074830,1.76331,0,0.078659,0.827341,0.264531,0.685441,1.20363,1.07541,0.54704,0.31858,0.755507,0.2356
2.693514739,2.02704,0.00268175,0.0633617,1.31051,0.164116,0.599358,1.18948,1.05445,0.189207,0.231982,0.737508,0.315924
2.739954649,2.08642,0.00265446,0.0192087,1.33936,0.00593665,0.765096,1.14342,1.03245,0.391066,0.229328,0.699593,0.300611
2.786394558,1.59207,0.222197,0.112577,1.23248,0.00752138,1.25342,0.632869,0.746675,0.728434,0.316701,0.364382,0.687973
2.832834467,1.15324,0.130072,0.388517,1.22486,0.353001,0.634055,0.58842,1.09142,0.864518,0.0637034,0.468414,0.344626
2.879274376,0.283968,0.0576131,0.297257,1.10364,0.66557,1.00769,0.390571,0.834976,0.0938167,0.53354,0.693132,0.675871
2.925714286,0.343034,0.0389276,0.281528,1.20909,0.825098,1.10259,0.25328,0.280443,0.273808,0.80942,0.984053,1.01016
2.972154195,0.406006,0.0839127,0.198205,1.18275,0.736496,1.06889,0.159452,0.265343,0.341722,0.7927,1.01988,1.05391
3.018594104,0.461166,0.139786,0.168007,1.1699,0.689749,1.00875,0.119869,0.209697,0.361883,0.748548,0.963218,1.04699
3.065034014,0.512346,0.191577,0.143216,1.21676,0.638086,0.896863,0.164896,0.16129,0.39264,0.906966,0.952358,0.668842
3.111473923,0.0818664,0.241542,0.692566,0.525327,0.677689,0.685098,0.405536,0.392124,1.63813,0.0100633,1.34643,0.0751811
3.157913832,0.0686073,0.0995953,1.1955,0.52648,0.689999,0.897562,0.557444,0.643342,1.68836,0,1.22449,0.0253863
3.204353741,0.3009,0.356595,0.697335,0.575999,1.19379,1.07076,0.431271,0.38182,1.68918,0.0166131,0.910686,0.0525104
3.250793651,0.860897,0.56188,0.435083,0.937727,0.91884,0.419825,0.445199,0.583983,1.44162,0.117527,0.648247,0.0463208
3.297233560,0.918508,0.523162,0.334245,0.998332,1.02096,0.480252,0.580703,0.601488,1.29657,0.152054,0.673182,0.000699207
3.343673469,1.00899,0.537445,0.248855,1.05285,1.02857,0.397432,0.567804,0.606539,1.18869,0.178348,0.689448,0.0594818
3.390113379,1.14538,0.455066,0.247269,1.204,1.03628,0.102695,0.60004,0.540707,1.18879,0.173984,0.672197,0.0557992
3.436553288,1.19661,0.732731,0.292793,1.29079,1.04824,0.21025,0.710204,0.449768,1.22674,0.178883,0.385136,0.0499515
3.482993197,1.4224,0.869779,0.550809,0.913379,0.593927,0.196382,0.626589,0.591404,0.467357,0.670275,0.471644,0.236231
3.529433107,1.39914,0.862538,0.497782,0.974957,0.535046,0.182157,0.685387,0.647327,0.451785,0.73257,0.469417,0.480055
3.575873016,0.996004,0.835985,0.391838,1.061,0.777396,0.407903,0.828961,0.655197,0.404336,0.680825,0.408757,0.616641
3.622312925,0.670497,0.854434,0.222102,1.5617,0.795631,0.554466,0.611992,0.5968,0.201044,0.8997,0.434324,0.680878
3.668752834,0.144974,0.832511,0.516949,1.44476,1.1858,1.17929,0.203935,0.455589,1.20096,0.474562,0.0953294,0.213069
3.715192744,0.196989,0.898889,0.731086,1.14655,1.28568,1.32325,0.195142,0.0362225,1.6544,0.223205,0.137578,0.249458
3.761632653,0.052834,0.760618,0.690944,0.80992,1.28566,1.21723,0.33117,0.20381,1.80217,0.261524,0.292093,0.0116122
3.808072562,0,0.857015,0.462891,0.791173,0.516561,0.793097,0.944963,0.563447,1.1133,0.373066,1.4713,0.0877327
3.854512472,0.04179,0.553387,0.495227,0.695774,0.644897,0.651367,1.31156,0.729261,0.645428,0.400743,1.66284,0.187214
3.900952381,0.124276,0.411067,0.781428,0.790859,0.509144,0.484595,1.5575,0.721263,0.453935,0.226941,1.60556,0.251079
3.947392290,0.548591,0.387159,0.820982,0.617563,0.47157,0.326279,1.15479,1.30738,0.384463,0.032912,0.83008,0.205398
3.993832200,0.66313,0.318088,0.552261,0.438696,0.426052,0.410869,1.27481,1.4154,0.296605,0.289337,0.927079,0.12533
4.040272109,0.719201,0.339509,0.326238,0.4148,0.402244,0.450113,1.29594,1.47035,0.313756,0.519063,0.954526,0.147935
4.086712018,0.806901,0.174257,0.290511,0.303225,0.366591,0.564715,1.28762,1.52473,0.152753,0.564135,0.962647,0.35774
4.133151927,0.788892,0.074431,0.246097,0.276236,0.262237,0.545702,1.23997,1.61715,0.118589,0.602975,0.770534,0.761037
4.179591837,0.647941,0.167836,0.123629,0.474234,0.088142,0.255742,1.00613,1.50863,0.0555429,0.822553,0.187895,1.03222
4.226031746,0.0200091,0.608688,0.27318,1.14859,0.253532,0.540711,0.238516,1.23765,0.425419,0.490673,0.173576,0.839297
4.272471655,0.110044,0.636478,0.586777,0.772472,0.291773,0.496736,0.671164,1.10657,0.676118,0.252042,0.338399,0.918416
4.318911565,0.250858,0.698845,0.457144,0.203934,1.57047,0.824824,0.386792,0.748803,1.01621,0.0890282,0.579203,0.476856
4.365351474,0.178781,0.697958,0.279815,0.182542,1.94886,0.886892,0.379545,1.00779,1.21707,0.0817677,0.811389,0.344768
4.411791383,0.169647,0.67909,0.213716,0.192329,1.98839,0.908499,0.429065,1.12821,1.0255,0.0906368,0.728551,0.312112
4.458231293,0.205198,0.625197,0.234104,0.276755,1.93498,0.873596,0.602603,1.11517,1.00043,0.0844762,0.661977,0.269769
4.504671202,0.197421,0.559638,0.245757,0.473833,1.81213,0.674732,0.729464,0.329976,0.574275,0.183293,1.54465,0.368023
4.551111111,0.213336,1.17486,0.0786902,0.127192,1.57028,0.882734,0.419302,0.382245,0.335572,0.214576,1.70876,0.60075
4.597551020,0,1.34031,0.036453,0.166483,1.62248,0.892071,0.45595,0.729059,0.273462,0.22597,1.70956,0.470428
4.643990930,0.0116272,1.15215,0.268317,0.150866,0.699444,0.522085,1.24939,1.07953,0,0.443721,1.19361,0.000455343
4.690430839,0.0792004,0.723458,0.286174,0.340706,0.187941,0.246829,1.43262,1.30115,0.0772398,0.518822,0.898468,0.135007
4.736870748,0.100688,0.482139,0.253729,0.367915,0.103376,0.365605,1.4939,1.23863,0.0748451,0.542089,0.812605,0.292315
4.783310658,0.232205,0.36804,0.213577,0.245794,0.013153,0.435555,1.46453,1.13446,0.210893,0.603061,0.739612,0.558229
4.829750567,0.540905,0.400197,0.215779,0.419994,0.278956,0.23321,1.43632,1.08353,0.00759284,0.735552,0.752557,0.62985
4.876190476,0.791954,0.278712,1.50888,0.789981,0.817769,0.320031,0.706432,0.500523,0.168635,0.481213,0.138741,0.967851
4.922630385,0.897049,0.259347,1.64995,0.690758,0.842162,0.574342,0.849826,0.414103,0.490431,0.480388,0.0165273,0.498616
4.969070295,0.829797,0.262618,1.7042,0.357376,0.847734,0.398884,0.562832,0.517153,0.796244,0.523505,0.0142391,0.471951
5.015510204,0.970823,0.237192,1.5772,0.359843,0.892709,0.525276,0.750919,0.643427,0.743856,0.556362,0.0812646,0.195814
5.061950113,0.674784,0.651646,0.455575,0.251764,1.1585,1.32529,0.454682,0.956998,0.279365,0.0350375,1.67736,0.000581649
5.108390023,0.663172,0.484081,0.147179,0.278723,1.111,1.10124,0.816871,0.748024,0.392118,0,1.60166,0.303015
5.154829932,0.664767,0.246054,0.0792571,0.270306,1.22953,0.996195,0.837845,0.860809,0.426411,0,1.58716,0.447789
5.201269841,0.527518,0.161831,0.0613317,0.706677,1.42815,0.564644,0.332567,0.830795,0.665735,0.0556471,1.83594,0.229003
5.247709751,0.532864,0.22135,0.357439,1.20326,1.13786,0.592729,0.463705,0.631406,0.894557,0.107197,1.68951,0.136997
5.294149660,0.49358,0.133962,0.493164,1.19214,0.857264,0.662615,0.705492,0.674866,0.954436,0.0472209,1.58056,0.180307
5.340589569,0.245255,0.60767,0.17533,0.805253,0.435638,0.43366,0.88797,1.98686,0.496476,0.417927,0.633463,0.239351
5.387029478,0.344289,0.552634,0.252934,0.465166,0.241283,0.420147,0.998421,1.85637,0.512419,0.511583,0.578645,0.420017
5.433469388,0.0953364,0.483437,0.215997,0.429936,0.208965,0.48611,0.991448,1.81259,0.516456,0.608653,0.549231,0.40002
5.479909297,0.0329959,0.508165,0.168184,0.438416,0.0318305,0.389452,0.905213,1.83391,0.501832,0.68684,0.542146,0.456087
5.526349206,0,0.532371,0.0514909,0.420668,0.0272895,0.547129,0.935196,1.8159,0.642969,0.749855,0.576691,0.477428
5.572789116,0.0793809,0.613123,0.154921,0.614706,0.050983,0.472717,1.10639,1.46259,0.568695,0.844072,0.582454,0.755508
5.619229025,0.189241,0.678269,0.132516,0.600779,0.761792,0.509683,0.484814,1.16672,0.465764,0.288357,0.235733,0.940147
5.665668934,0.0282408,0.590773,0,1.00453,1.17433,0.362832,0.424685,0.794397,0.895115,1.31528,0.194179,0.907416
5.712108844,0.111699,0.531878,0.0966981,0.96961,1.59101,0.265287,0.533641,0.895886,0.892758,0.854105,0.544919,0.750307
5.758548753,0.179142,0.673116,0.122138,0.929028,1.53725,0.272357,0.562442,0.851068,0.806196,0.78609,0.423689,0.790116
5.804988662,0.185013,0.649197,0.137032,0.772918,1.26859,0.287114,0.710753,0.673132,0.72575,0.771884,0.303534,0.868236
5.851428571,0.109202,0.711434,0.17441,0.524221,0.777899,0.356158,0.930116,0.771475,0.567219,1.03679,0.0800904,1.127
